,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,201954.0,00,0.0,576.0,390.0,29.6,4.7,10.0,0.469,0.8,2.2,0.378,2.5,2.9,0.853,0.5,2.2,2.6,4.9,1.1,0.1,2.1,1.7,12.7
0,2555.0,00,0.0,896.0,177.0,20.7,2.5,4.6,0.533,0.0,0.1,0.208,1.0,1.4,0.726,2.0,3.3,5.2,1.0,0.5,0.5,1.0,2.8,5.9
0,201144.0,00,0.0,717.0,687.0,32.5,5.1,11.6,0.442,1.3,3.4,0.377,2.7,3.3,0.815,0.4,2.5,2.9,5.7,1.5,0.2,2.0,2.0,14.3
0,1626192.0,00,0.0,85.0,1.0,8.4,0.9,2.2,0.418,0.5,1.2,0.414,0.2,0.3,0.875,0.3,1.1,1.3,0.6,0.1,0.0,0.4,0.6,2.6
0,1626188.0,00,0.0,15.0,0.0,13.4,2.3,4.5,0.507,0.7,1.7,0.423,0.1,0.3,0.4,0.1,0.4,0.5,1.7,0.3,0.0,0.9,0.9,5.4
0,1628429.0,00,0.0,1.0,0.0,2.9,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
0,204022.0,00,0.0,16.0,0.0,5.4,0.6,1.4,0.409,0.0,0.0,0.0,0.6,1.3,0.429,0.6,0.9,1.6,0.1,0.4,0.2,0.2,1.4,1.7
0,1627856.0,00,0.0,1.0,0.0,10.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,3.0,2.0
0,202326.0,00,0.0,500.0,478.0,32.1,7.7,16.7,0.459,0.5,1.5,0.331,5.6,7.5,0.737,2.9,8.0,10.9,3.1,1.4,1.2,3.5,3.9,21.4
0,203496.0,00,0.0,223.0,177.0,28.6,4.2,10.5,0.398,2.3,6.5,0.362,2.1,2.6,0.808,1.1,4.5,5.6,1.4,1.6,0.7,1.9,3.0,12.9
0,203459.0,00,0.0,239.0,30.0,22.9,3.1,6.8,0.45,1.3,3.2,0.405,1.0,1.2,0.851,0.2,2.2,2.4,1.1,0.6,0.2,0.7,2.0,8.4
0,2037.0,00,0.0,1194.0,433.0,30.4,5.3,12.9,0.41,1.7,4.9,0.35,2.9,3.4,0.862,0.4,2.0,2.3,3.5,0.9,0.2,1.9,1.6,15.2
0,202348.0,00,0.0,278.0,99.0,24.6,4.6,11.2,0.411,1.2,3.7,0.316,1.9,2.3,0.825,0.6,2.0,2.5,3.2,0.7,0.1,1.9,1.6,12.3
0,203109.0,00,0.0,396.0,196.0,23.3,3.1,7.1,0.433,1.2,3.4,0.345,1.5,1.9,0.787,0.7,3.1,3.8,1.4,1.0,0.3,0.8,1.9,8.9
0,201967.0,00,0.0,591.0,162.0,21.5,2.6,5.6,0.469,0.2,0.7,0.323,0.6,0.9,0.643,1.2,2.6,3.8,0.7,0.7,0.5,0.5,1.8,6.1
0,203552.0,00,0.0,118.0,51.0,23.4,3.7,7.9,0.473,1.6,3.7,0.432,1.1,1.3,0.844,0.3,1.8,2.1,2.2,0.9,0.1,1.1,1.4,10.2
0,201939.0,00,0.0,587.0,581.0,34.6,8.0,16.8,0.476,3.3,7.7,0.436,3.5,3.9,0.903,0.7,3.7,4.4,6.8,1.8,0.2,3.2,2.5,22.9
0,203584.0,00,0.0,176.0,4.0,13.2,2.1,5.3,0.4,1.5,3.8,0.408,0.4,0.5,0.775,0.2,0.9,1.2,0.6,0.2,0.0,0.6,1.1,6.1
0,203076.0,00,0.0,347.0,342.0,34.5,8.5,16.6,0.515,0.3,0.9,0.301,5.2,6.6,0.787,2.5,7.7,10.2,1.8,1.3,2.4,1.8,2.4,22.5
0,1627738.0,00,0.0,38.0,0.0,6.5,0.7,1.3,0.51,0.0,0.0,0.0,0.3,0.5,0.556,0.5,1.2,1.7,0.1,0.1,0.4,0.2,1.1,1.6
0,202334.0,00,0.0,493.0,94.0,20.8,2.8,5.0,0.56,0.0,0.0,0.0,1.1,2.0,0.572,2.3,4.1,6.4,0.8,0.5,0.9,0.8,2.5,6.8
0,201942.0,00,0.0,606.0,594.0,34.1,6.9,15.4,0.447,0.4,1.4,0.282,5.2,6.3,0.828,0.8,3.3,4.1,2.8,1.0,0.3,2.0,2.3,19.4
0,203473.0,00,0.0,237.0,91.0,15.2,1.9,3.3,0.57,0.0,0.1,0.333,0.8,1.2,0.681,1.6,3.7,5.3,0.4,0.4,0.8,0.8,2.2,4.6
0,1626155.0,00,0.0,89.0,2.0,16.7,2.4,5.0,0.471,0.7,2.2,0.318,0.4,0.8,0.557,1.1,2.3,3.3,0.9,0.5,0.2,0.5,1.0,5.9
0,1627098.0,00,0.0,84.0,4.0,17.4,2.0,5.3,0.38,0.4,1.6,0.28,1.0,1.3,0.785,0.2,1.6,1.8,2.6,0.6,0.0,1.3,1.5,5.5
